window_start_ms,window_end_ms,label,capture_role,plc_ip,session_id,host_id,scenario_id,episode_id,opcua_packet_count,opcua_byte_count,opcua_frame_len_mean,opcua_frame_len_std,opcua_unique_src_ip_count,opcua_unique_dst_ip_count,opcua_unique_tcp_stream_count,opcua_hel_count,opcua_opn_count,opcua_msg_count,opcua_clo_count,opcua_err_count,opcua_status_good_count,opcua_status_uncertain_count,opcua_status_bad_count,opcua_get_endpoints_count,opcua_open_secure_channel_count,opcua_close_secure_channel_count,opcua_create_session_count,opcua_activate_session_count,opcua_close_session_count,opcua_browse_count,opcua_read_count,opcua_write_count,opcua_create_subscription_count,opcua_create_monitored_items_count,opcua_max_create_session_by_single_src,opcua_max_browse_by_single_src
1786292785000,1786292790000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,212,28224,133.132,33.718,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292790000,1786292795000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,252,33802,134.135,35.029,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292795000,1786292800000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,226,30402,134.522,34.806,2,2,1,0,0,99,0,0,49,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0
1786292800000,1786292805000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,236,31600,133.898,34.788,2,2,1,0,0,103,0,0,52,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0
1786292805000,1786292810000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,254,33778,132.984,33.983,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292810000,1786292815000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,212,28512,134.491,37.263,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292815000,1786292820000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,250,33634,134.536,34.153,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292820000,1786292825000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,248,33370,134.556,32.003,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292825000,1786292830000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,214,28536,133.346,36.51,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292830000,1786292835000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,254,34018,133.929,36.6,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292835000,1786292840000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,212,28224,133.132,33.718,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292840000,1786292845000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,252,33658,133.563,33.486,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292845000,1786292850000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,212,28576,134.792,37.339,2,2,1,0,0,92,0,0,45,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
1786292850000,1786292855000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,248,33134,133.605,34.825,2,2,1,0,0,108,0,0,55,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0
1786292855000,1786292860000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,252,33658,133.563,33.486,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292860000,1786292865000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,210,28248,134.514,34.966,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292865000,1786292870000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,254,34018,133.929,36.6,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292870000,1786292875000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,224,29934,133.634,33.116,2,2,1,0,0,98,0,0,49,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
1786292875000,1786292880000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,238,31972,134.336,35.129,2,2,1,0,0,104,0,0,52,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0
1786292880000,1786292885000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,248,33658,135.718,35.158,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292885000,1786292890000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,212,28224,133.132,33.718,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292890000,1786292895000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,250,33538,134.152,32.962,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292895000,1786292900000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,210,28392,135.2,36.718,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292900000,1786292905000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,250,33634,134.536,34.153,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292905000,1786292910000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,252,33658,133.563,33.486,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292910000,1786292915000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,210,28248,134.514,34.966,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292915000,1786292920000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,244,33102,135.664,35.416,2,2,1,0,0,108,0,0,54,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0
1786292920000,1786292925000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,250,33490,133.96,32.562,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292925000,1786292930000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,214,28536,133.346,36.51,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292930000,1786292935000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,250,33634,134.536,34.153,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292935000,1786292940000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,210,28248,134.514,34.966,2,2,1,0,0,92,0,0,46,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1786292940000,1786292945000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,250,33538,134.152,32.962,2,2,1,0,0,110,0,0,55,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1786292945000,1786292950000,benign,mirror,192.168.210.211,unknown_session,unknown_host,unlabeled,unlabeled,216,28952,134.037,37.685,2,2,1,0,0,93,0,0,46,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
